"from_country","to_country","move_year","n_moves","n_unique_movers"
"Azerbaijan","United States",2020,1,1
"Germany","Liechtenstein",2023,1,1
"Netherlands","Aruba",2011,1,1
"South Africa","Ireland",2023,1,1
"Singapore","Sweden",2020,1,1
"Finland","Sweden",2023,1,1
"Armenia","Georgia",2023,1,1
"Canada","Bangladesh",2020,1,1
"Belgium","Turkey",2022,1,1
"Argentina","United Kingdom",2017,1,1
"Germany","Lebanon",2019,1,1
"Italy","Brazil",2019,1,1
"Uzbekistan","Russia",2022,1,1
"Israel","Russia",2021,1,1
"Nigeria","Germany",2023,1,1
"Denmark","South Africa",2022,1,1
"Malaysia","Syria",2022,1,1
"Australia","Bangladesh",2020,1,1
"United States","Spain",2012,1,1
"Netherlands","Luxembourg",2010,1,1
"Saudi Arabia","Spain",2015,1,1
"Kenya","Japan",2020,1,1
"Iraq","Jordan",2024,1,1
"Australia","Portugal",2020,1,1
"Tajikistan","United Arab Emirates",2024,1,1
"Ghana","Singapore",2023,1,1
"Virgin Islands (UK)","Taiwan",2024,1,1
"Croatia","Colombia",2021,1,1
"Spain","Nepal",2024,1,1
"Russia","Estonia",2022,1,1
"Australia","Iraq",2015,1,1
"Italy","Kenya",2024,1,1
"Luxembourg","Greece",2024,1,1
"Slovenia","Italy",2024,1,1
"Hungary","United Kingdom",2024,1,1
"Norway","India",2024,1,1
"Ireland","Nigeria",2022,1,1
"Bangladesh","Turkey",2024,1,1
"Canada","Brazil",2017,1,1
"United Arab Emirates","Germany",2022,1,1
"Uganda","Hungary",2024,1,1
"Burundi","Mozambique",2022,1,1
"Netherlands","France",2006,1,1
"Sweden","Macao",2018,1,1
"Austria","Netherlands",2008,1,1
"Kazakhstan","Australia",2024,1,1
"Sweden","Uzbekistan",2024,1,1
"Zimbabwe","United Kingdom",2000,1,1
"Somalia","United States",2023,1,1
"Singapore","Malaysia",2022,1,1
"Kenya","Netherlands",2014,1,1
"United States","Ukraine",2018,1,1
"Egypt","Switzerland",2020,1,1
"Argentina","Netherlands",2024,1,1
"India","Philippines",2024,1,1
"Bahrain","Belgium",2018,1,1
"Ukraine","Estonia",2016,1,1
"Spain","Sweden",2019,1,1
"Canada","Iran",2016,1,1
"India","Rwanda",2024,1,1
"Pakistan","Netherlands",2021,1,1
"Belgium","Spain",2014,1,1
"Netherlands","Ukraine",2017,1,1
"Malta","Spain",2023,1,1
"Thailand","Cambodia",2020,1,1
"Austria","Germany",2011,1,1
"Liberia","India",2024,1,1
"South Africa","Saudi Arabia",2023,1,1
"Australia","Myanmar",2021,1,1
"Netherlands","Sudan",2021,1,1
"Kenya","United Kingdom",2024,1,1
"Belarus","Finland",2023,1,1
"Taiwan","Malta",2021,1,1
"India","Colombia",2020,1,1
"Brazil","New Zealand",2020,1,1
"Guernsey","Japan",2023,1,1
"United Arab Emirates","Mexico",2024,1,1
"Belgium","Israel",2022,1,1
"United Kingdom","Cyprus",2024,1,1
"Switzerland","Turkey",2020,1,1
"Czech Republic","Belarus",2023,1,1
"Ireland","Russia",2017,1,1
"South Korea","Hong Kong",2024,1,1
"Netherlands","Qatar",2022,1,1
"Bangladesh","Ireland",2022,1,1
"Iran","France",2020,1,1
"India","France",2016,1,1
"Singapore","Pakistan",2024,1,1
"Belgium","Ireland",2016,1,1
"Finland","Jordan",2021,1,1
"United Kingdom","Jordan",2022,1,1
"Denmark","Italy",2016,1,1
"Norway","Belgium",2024,1,1
"Tunisia","Luxembourg",2020,1,1
"Kyrgyzstan","United States",2024,1,1
"Kazakhstan","United Arab Emirates",2022,1,1
"Switzerland","Italy",2019,1,1
"Hong Kong","China",2017,1,1
"Congo - Democratic Republic of the Congo","Belgium",2021,1,1
"Japan","Somalia",2018,1,1
"Japan","Egypt",2022,1,1
"South Africa","Belgium",2022,1,1
"Benin","Vietnam",2023,1,1
"Tanzania","United States",2023,1,1
"Iran","Australia",2016,1,1
"Nepal","Thailand",2019,1,1
"Russia","Latvia",2023,1,1
"Qatar","Canada",2021,1,1
"Bahrain","Hong Kong",2019,1,1
"Netherlands","Singapore",2020,1,1
"Australia","Sweden",2001,1,1
"Netherlands","Argentina",2022,1,1
"Malaysia","Syria",2019,1,1
"Denmark","Spain",2018,1,1
"Estonia","Hungary",2016,1,1
"India","Australia",2009,1,1
"Serbia","Croatia",2018,1,1
"Nicaragua","United Kingdom",2023,1,1
"Singapore","Germany",2018,1,1
"Indonesia","Switzerland",2024,1,1
"United Kingdom","Greece",2017,1,1
"Belgium","Congo - Democratic Republic of the Congo",2020,1,1
"Switzerland","Romania",2024,1,1
"Netherlands","Croatia",2019,1,1
"Ukraine","Canada",2018,1,1
"Switzerland","Serbia",2020,1,1
"India","Estonia",2022,1,1
"Pakistan","United States",2015,1,1
"United States","Bolivia",2020,1,1
"United Arab Emirates","Switzerland",2021,1,1
"United Arab Emirates","Greece",2021,1,1
"Belgium","Australia",2021,1,1
"Netherlands","Japan",2013,1,1
"Tunisia","Belgium",2017,1,1
"Finland","Estonia",2024,1,1
"United States","Norway",2024,1,1
"Russia","Finland",2014,1,1
"Indonesia","Australia",2021,1,1
"United Kingdom","Hungary",2016,1,1
"India","Malaysia",2020,1,1
"Romania","El Salvador",2014,1,1
"Mexico","Spain",2018,1,1
"United Kingdom","France",2009,1,1
"Spain","Turkey",2022,1,1
"Ireland","Estonia",2021,1,1
"Lithuania","Italy",2023,1,1
"Montenegro","Spain",2023,1,1
"Iran","Netherlands",2014,1,1
"Belgium","Canada",2022,1,1
"Bosnia and Herzegovina","Netherlands",2012,1,1
"Kenya","Egypt",2024,1,1
"Turkey","Chile",2023,1,1
"Mexico","Germany",2024,1,1
"France","Singapore",2017,1,1
"Kazakhstan","Uzbekistan",2024,1,1
"Philippines","France",2024,1,1
"China","Serbia",2022,1,1
"Malaysia","Australia",2015,1,1
"Guinea","Netherlands",2021,1,1
"Poland","Turkey",2021,1,1
"Suriname","Netherlands",2016,1,1
"Belgium","Sweden",2018,1,1
"United Kingdom","Jordan",2017,1,1
"United Arab Emirates","France",2021,1,1
"Switzerland","China",2018,1,1
"United States","Nicaragua",2018,1,1
"Cyprus","Germany",2024,1,1
"Turkey","Qatar",2021,1,1
"Qatar","Indonesia",2022,1,1
"Philippines","Iran",2021,1,1
"Netherlands","Thailand",2021,1,1
"United States","Belarus",2022,1,1
"United States","Finland",2012,1,1
"United States","Albania",2019,1,1
"India","United States",2004,1,1
"Canada","Ukraine",2023,1,1
"Italy","Brazil",2017,1,1
"South Africa","Netherlands",2007,1,1
"Spain","Brazil",2021,1,1
"India","Norway",2019,1,1
"Philippines","China",2023,1,1
"Vietnam","United Kingdom",2024,1,1
"Chile","Canada",2018,1,1
"Belarus","Israel",2023,1,1
"Myanmar","Netherlands",2023,1,1
"Germany","Pakistan",2016,1,1
"Taiwan","Canada",2018,1,1
"Canada","Taiwan",2018,1,1
"United Arab Emirates","Czech Republic",2020,1,1
"Turkey","Pakistan",2024,1,1
"Czech Republic","Netherlands",2009,1,1
"Algeria","Singapore",2024,1,1
"Turkey","Spain",2020,1,1
"Slovenia","Serbia",2021,1,1
"Thailand","Indonesia",2019,1,1
"Switzerland","United Kingdom",2013,1,1
"Romania","Spain",2022,1,1
"Netherlands","Togo",2007,1,1
"Niger","South Africa",2020,1,1
"France","Russia",2024,1,1
"Japan","Brazil",2020,1,1
"China","Mexico",2022,1,1
"United States","France",2008,1,1
"Belgium","Japan",2021,1,1
"Finland","Hungary",2022,1,1
"Australia","Netherlands",2013,1,1
"Bangladesh","France",2024,1,1
"France","Togo",2024,1,1
"Greece","Belgium",2024,1,1
"Netherlands","France",2008,1,1
"United Kingdom","Pakistan",2018,1,1
"Russia","Estonia",2019,1,1
"Nepal","Australia",2024,1,1
"South Africa","Italy",2022,1,1
"Kenya","Canada",2024,1,1
"Italy","Colombia",2018,1,1
"Poland","Denmark",2019,1,1
"Denmark","Poland",2023,1,1
"Brazil","Argentina",2022,1,1
"France","Serbia",2017,1,1
"Ghana","Sweden",2023,1,1
"Finland","China",2017,1,1
"Senegal","Switzerland",2023,1,1
"United Kingdom","Netherlands",2000,1,1
"Turkey","Romania",2019,1,1
"Chile","Belgium",2010,1,1
"Germany","Chile",2012,1,1
"Peru","United Kingdom",2023,1,1
"China","Indonesia",2022,1,1
"Denmark","Netherlands",2016,1,1
"Benin","South Korea",2023,1,1
"South Africa","Japan",2024,1,1
"China","Kazakhstan",2019,1,1
"Cyprus","Slovenia",2023,1,1
"Japan","Malaysia",2023,1,1
"Japan","Indonesia",2022,1,1
"Germany","Philippines",2020,1,1
"Netherlands","Austria",2016,1,1
"Canada","Spain",2011,1,1
"Nepal","Germany",2019,1,1
"Israel","Singapore",2020,1,1
"Peru","United Kingdom",2018,1,1
"United Kingdom","Ukraine",2022,1,1
"China","South Korea",2024,1,1
"Sweden","Saudi Arabia",2009,1,1
"Algeria","Japan",2020,1,1
"Czech Republic","Japan",2024,1,1
"France","Monaco",2024,1,1
"Canada","Philippines",2019,1,1
"Brazil","Finland",2022,1,1
"Puerto Rico","Egypt",2020,1,1
"Malaysia","Philippines",2021,1,1
"Russia","Kyrgyzstan",2021,1,1
"Malaysia","Canada",2022,1,1
"Germany","Estonia",2021,1,1
"Finland","Sweden",2018,1,1
"Austria","Japan",2020,1,1
"Cyprus","Japan",2024,1,1
"Japan","Pakistan",2024,1,1
"Brazil","Belgium",2012,1,1
"Philippines","Netherlands",2022,1,1
"Tunisia","Estonia",2021,1,1
"Estonia","United Arab Emirates",2021,1,1
"Gambia","India",2023,1,1
"Pakistan","Norway",2023,1,1
"Romania","United States",2018,1,1
"Germany","Hong Kong",2024,1,1
"Finland","Czech Republic",2022,1,1
"Norway","France",2021,1,1
"Indonesia","Germany",2015,1,1
"Italy","Pakistan",2019,1,1
"Hong Kong","Netherlands",2022,1,1
"Chile","Ecuador",2020,1,1
"Uzbekistan","Poland",2023,1,1
"India","Mexico",2020,1,1
"Germany","Finland",2015,1,1
"Sweden","Sri Lanka",2022,1,1
"Taiwan","Peru",2022,1,1
"Puerto Rico","Turkey",2022,1,1
"Israel","Slovenia",2020,1,1
"Tunisia","Hungary",2023,1,1
"South Korea","Benin",2023,1,1
"Mexico","France",2021,1,1
"France","Taiwan",2023,1,1
"Luxembourg","Saudi Arabia",2022,1,1
"Hong Kong","Netherlands",2013,1,1
"Nigeria","Kenya",2024,1,1
"Sweden","Iceland",2021,1,1
"Spain","Macedonia",2024,1,1
"Russia","Lithuania",2021,1,1
"Croatia","Netherlands",2023,1,1
"Netherlands","Ethiopia",2016,1,1
"Pakistan","South Korea",2020,1,1
"Turkey","Netherlands",2016,1,1
"Poland","Latvia",2020,1,1
"Poland","Australia",2022,1,1
"Switzerland","Germany",2013,1,1
"Italy","Malta",2024,1,1
"Denmark","Ireland",2023,1,1
"Norway","Egypt",2020,1,1
"Hungary","Armenia",2023,1,1
"Netherlands","Argentina",2005,1,1
"China","Bulgaria",2021,1,1
"Czech Republic","India",2021,1,1
"Thailand","Australia",2014,1,1
"Ireland","United Kingdom",2015,1,1
"Ukraine","Austria",2022,1,1
"Czech Republic","Russia",2019,1,1
"Belgium","Australia",2023,1,1
"India","Iran",2023,1,1
"Switzerland","India",2015,1,1
"Mexico","France",2018,1,1
"Poland","Turkey",2023,1,1
"Armenia","France",2023,1,1
"Spain","Austria",2012,1,1
"Macao","United States",2010,1,1
"South Africa","United Kingdom",2017,1,1
"Belgium","Romania",2022,1,1
"Ireland","Croatia",2021,1,1
"Ireland","United Kingdom",2000,1,1
"China","Jordan",2021,1,1
"Russia","France",2020,1,1
"France","Mexico",2019,1,1
"Australia","Singapore",2007,1,1
"Bulgaria","United States",2020,1,1
"Australia","Ireland",2012,1,1
"United States","Saudi Arabia",2018,1,1
"Sweden","Iceland",2018,1,1
"Palestine","Canada",2023,1,1
"United States","Puerto Rico",2017,1,1
"Germany","Saudi Arabia",2022,1,1
"Switzerland","South Korea",2017,1,1
"Taiwan","India",2021,1,1
"Japan","Belgium",2017,1,1
"New Zealand","France",2018,1,1
"Serbia","Germany",2018,1,1
"United States","Philippines",2020,1,1
"Singapore","Italy",2024,1,1
"Lebanon","Netherlands",2012,1,1
"India","Finland",2020,1,1
"Australia","Brazil",2021,1,1
"Greece","Belgium",2022,1,1
"New Caledonia","Canada",2021,1,1
"Switzerland","Hungary",2018,1,1
"Thailand","Malaysia",2024,1,1
"United States","Malta",2023,1,1
"Canada","France",2011,1,1
"Ghana","United Kingdom",2024,1,1
"Portugal","France",2017,1,1
"Kazakhstan","Belarus",2023,1,1
"Australia","Switzerland",2023,1,1
"Pakistan","Netherlands",2015,1,1
"Belgium","Finland",2021,1,1
"Denmark","Australia",2022,1,1
"Italy","Somalia",2020,1,1
"Netherlands","Iran",2022,1,1
"Ukraine","Estonia",2020,1,1
"Nigeria","Peru",2021,1,1
"Vietnam","China",2018,1,1
"Kazakhstan","Serbia",2022,1,1
"Netherlands","Czech Republic",2015,1,1
"Italy","Portugal",2020,1,1
"Pakistan","Afghanistan",2009,1,1
"Norway","India",2019,1,1
"Germany","Belgium",2014,1,1
"South Africa","Italy",2024,1,1
"France","Czech Republic",2018,1,1
"Switzerland","Sweden",2023,1,1
"Philippines","Russia",2024,1,1
"Thailand","France",2023,1,1
"Greece","Czech Republic",2020,1,1
"Germany","Iran",2024,1,1
"Luxembourg","Belgium",2017,1,1
"Turkey","Japan",2019,1,1
"Spain","Nigeria",2023,1,1
"Taiwan","France",2017,1,1
"United Kingdom","Greece",2002,1,1
"Ukraine","Israel",2015,1,1
"Spain","Ukraine",2018,1,1
"Netherlands","Iran",2019,1,1
"Latvia","Switzerland",2020,1,1
"Nigeria","South Africa",2017,1,1
"Austria","United States",2016,1,1
"United States","Thailand",2019,1,1
"Estonia","United States",2023,1,1
"Zimbabwe","Japan",2024,1,1
"United Arab Emirates","Iran",2021,1,1
"Egypt","Oman",2021,1,1
"Qatar","United States",2022,1,1
"Nicaragua","Netherlands",2022,1,1
"Switzerland","Turkey",2016,1,1
"Chile","Japan",2024,1,1
"Germany","Latvia",2023,1,1
"United Kingdom","Belarus",2019,1,1
"Morocco","Egypt",2020,1,1
"Denmark","Switzerland",2016,1,1
"Mexico","United States",2007,1,1
"East Timor","India",2017,1,1
"Belarus","United Kingdom",2021,1,1
"Reunion","France",2020,1,1
"Chile","United Kingdom",2021,1,1
"Hungary","Spain",2014,1,1
"Macao","Germany",2024,1,1
"Spain","Canada",2021,1,1
"United Kingdom","Bermuda",1999,1,1
"Netherlands","Argentina",2024,1,1
"Spain","Singapore",2020,1,1
"Israel","United Kingdom",2017,1,1
"Russia","Netherlands",2008,1,1
"Netherlands","Bonaire, Saint Eustatius And Saba",2023,1,1
"Italy","Malta",2022,1,1
"Romania","Canada",2023,1,1
"Denmark","Malaysia",2023,1,1
"Colombia","Argentina",2024,1,1
"United States","Yemen",2024,1,1
"Kuwait","Netherlands",2020,1,1
"Cyprus","United Arab Emirates",2023,1,1
"Pakistan","Netherlands",2023,1,1
"Switzerland","Luxembourg",2022,1,1
"Canada","Netherlands",2024,1,1
"Hungary","United States",2015,1,1
"Botswana","China",2021,1,1
"Russia","China",2017,1,1
"United Kingdom","Kenya",2022,1,1
"United Arab Emirates","Indonesia",2023,1,1
"Finland","Israel",2018,1,1
"Thailand","Germany",2018,1,1
"Paraguay","Argentina",2022,1,1
"Pakistan","Estonia",2024,1,1
"Germany","Serbia",2023,1,1
"Mexico","Spain",2021,1,1
"Slovakia","Japan",2018,1,1
"Netherlands","Thailand",2010,1,1
"Turkey","India",2023,1,1
"Belgium","Armenia",2022,1,1
"Austria","Singapore",2023,1,1
"Hong Kong","United States",2009,1,1
"Romania","Greece",2016,1,1
"Netherlands","Macedonia",2018,1,1
"Sweden","Brazil",2021,1,1
"Saudi Arabia","India",2018,1,1
"France","Uruguay",2019,1,1
"Italy","Norway",2009,1,1
"United States","Hungary",2022,1,1
"Tunisia","Switzerland",2024,1,1
"Benin","Canada",2024,1,1
"Germany","Thailand",2019,1,1
"Russia","Paraguay",2023,1,1
"Switzerland","Singapore",2016,1,1
"Thailand","Poland",2023,1,1
"United Arab Emirates","Kazakhstan",2024,1,1
"France","Denmark",2018,1,1
"United Arab Emirates","Sri Lanka",2024,1,1
"Austria","United Arab Emirates",2021,1,1
"Ireland","Tunisia",2021,1,1
"Poland","China",2018,1,1
"Netherlands","United Arab Emirates",2014,1,1
"Spain","Ukraine",2023,1,1
"Malaysia","Canada",2024,1,1
"Indonesia","Australia",2023,1,1
"Finland","Vietnam",2020,1,1
"United Kingdom","Cyprus",2022,1,1
"Czech Republic","Germany",2017,1,1
"Macedonia","United States",2022,1,1
"Russia","Serbia",2017,1,1
"Canada","Slovenia",2020,1,1
"Indonesia","Germany",2021,1,1
"France","Jamaica",2018,1,1
"Hungary","Spain",2023,1,1
"Switzerland","Ukraine",2020,1,1
"Ukraine","France",2020,1,1
"New Zealand","Pakistan",2021,1,1
"Venezuela","Indonesia",2022,1,1
"Cyprus","Israel",2021,1,1
"Denmark","Serbia",2022,1,1
"Sri Lanka","India",2023,1,1
"Italy","Netherlands",2010,1,1
"United Kingdom","Switzerland",2012,1,1
"Azerbaijan","Sweden",2021,1,1
"South Korea","Kazakhstan",2024,1,1
"Pakistan","Canada",2015,1,1
"United Kingdom","Tonga",2019,1,1
"Austria","Iran",2017,1,1
"Canada","Ecuador",2024,1,1
"Russia","Israel",2019,1,1
"Fiji","Singapore",2023,1,1
"Austria","Lithuania",2021,1,1
"Bahrain","Netherlands",2023,1,1
"Netherlands","South Africa",2010,1,1
"Afghanistan","South Sudan",2014,1,1
"China","Mexico",2024,1,1
"Sweden","Israel",2021,1,1
"Lithuania","Italy",2021,1,1
"Saudi Arabia","Thailand",1988,1,1
"Brazil","Finland",2024,1,1
"Italy","France",2015,1,1
"Oman","Netherlands",2013,1,1
"Taiwan","Sweden",2022,1,1
"Benin","United States",2018,1,1
"Russia","Estonia",2024,1,1
"Tonga","Belgium",2016,1,1
"China","France",2008,1,1
"Spain","El Salvador",2024,1,1
"Uruguay","Guatemala",2021,1,1
"United Kingdom","Germany",2007,1,1
"Portugal","France",2013,1,1
"Japan","Turkey",2017,1,1
"Vietnam","United Kingdom",2019,1,1
"Netherlands","Australia",2013,1,1
"Netherlands","Sweden",2009,1,1
"United Kingdom","Italy",2015,1,1
"Mali","Russia",2018,1,1
"United Arab Emirates","Netherlands",2018,1,1
"Italy","Canada",2013,1,1
"Austria","China",2017,1,1
"Canada","Israel",2022,1,1
"India","Thailand",2021,1,1
"Tanzania","United States",2021,1,1
"Switzerland","Spain",2016,1,1
"Spain","Switzerland",2018,1,1
"Serbia","Czech Republic",2022,1,1
"Cyprus","Serbia",2023,1,1
"Serbia","Cyprus",2024,1,1
"Finland","Pakistan",2020,1,1
"United Arab Emirates","Pakistan",2016,1,1
"Germany","Cyprus",2021,1,1
"Philippines","France",2019,1,1
"Belgium","Cyprus",2022,1,1
"United Arab Emirates","Ireland",2024,1,1
"Afghanistan","Pakistan",2015,1,1
"Russia","United States",2013,1,1
"Germany","Thailand",2022,1,1
"Netherlands","South Korea",2013,1,1
"Syria","Netherlands",2012,1,1
"Bosnia and Herzegovina","United States",2024,1,1
"Singapore","Brazil",2021,1,1
"Ukraine","Canada",2021,1,1
"Netherlands","Poland",2011,1,1
"Taiwan","France",2022,1,1
"Kosovo","United States",2022,1,1
"United States","South Korea",2015,1,1
"Russia","Italy",2022,1,1
"France","Finland",2021,1,1
"Czech Republic","Canada",2022,1,1
"Germany","Hong Kong",2019,1,1
"Austria","Belgium",2021,1,1
"Russia","Italy",2019,1,1
"Libya","Egypt",2023,1,1
"Malaysia","United States",2023,1,1
"India","Oman",2022,1,1
"China","Italy",2024,1,1
"India","Nigeria",2013,1,1
"Greece","United Kingdom",2024,1,1
"Qatar","Egypt",2014,1,1
"Belgium","Italy",2018,1,1
"Norway","Mexico",2007,1,1
"Liechtenstein","South Korea",2021,1,1
"Greece","Israel",2019,1,1
"Finland","Philippines",2020,1,1
"Armenia","Canada",2017,1,1
"Dominican Republic","United Kingdom",2023,1,1
"Tunisia","Japan",2021,1,1
"Singapore","Hong Kong",2020,1,1
"United Arab Emirates","Netherlands",2000,1,1
"Guernsey","Netherlands",2004,1,1
"Hong Kong","Germany",2021,1,1
"Netherlands","Canada",2011,1,1
"Puerto Rico","Spain",2020,1,1
"United States","Peru",2016,1,1
"Italy","Israel",2022,1,1
"Nigeria","Israel",2024,1,1
"Czech Republic","Turkey",2016,1,1
"Algeria","France",2013,1,1
"Ireland","Belgium",2018,1,1
"Malta","France",2019,1,1
"Spain","Finland",2018,1,1
"Kenya","Denmark",2024,1,1
"Portugal","Poland",2024,1,1
"Ethiopia","Kenya",2020,1,1
"Liechtenstein","United States",2022,1,1
"Germany","Romania",2016,1,1
"Netherlands","Saudi Arabia",2019,1,1
"United States","Puerto Rico",2019,1,1
"United Arab Emirates","Australia",2021,1,1
"Netherlands","France",2004,1,1
"Benin","India",2024,1,1
"Kazakhstan","Latvia",2021,1,1
"Bangladesh","India",2022,1,1
"Kuwait","Jordan",2022,1,1
"France","Ireland",2013,1,1
"Egypt","United Kingdom",2013,1,1
"Bangladesh","Netherlands",2020,1,1
"Czech Republic","Ukraine",2022,1,1
"Netherlands","Bonaire, Saint Eustatius And Saba",2010,1,1
"Netherlands","Bulgaria",2023,1,1
"Georgia","Switzerland",2024,1,1
"Malaysia","Syria",2024,1,1
"Canada","Jordan",2019,1,1
"Israel","Poland",2023,1,1
"Spain","Armenia",2022,1,1
"Egypt","Benin",2024,1,1
"China","Austria",2022,1,1
"Russia","Canada",2022,1,1
"Brazil","Saudi Arabia",2024,1,1
"Israel","China",2019,1,1
"United Kingdom","Thailand",2023,1,1
"Turkey","Austria",2023,1,1
"Peru","Spain",2018,1,1
"Slovenia","Canada",2020,1,1
"Saudi Arabia","Algeria",2019,1,1
"Peru","United Kingdom",2021,1,1
"Netherlands","Russia",2010,1,1
"New Zealand","United Arab Emirates",2021,1,1
"Sweden","Macao",2021,1,1
"United States","Algeria",2023,1,1
"Finland","Sweden",2021,1,1
"Ukraine","Belarus",2016,1,1
"India","Australia",2012,1,1
"Romania","Spain",2024,1,1
"United Kingdom","Nigeria",2004,1,1
"Spain","Romania",2019,1,1
"Belgium","Suriname",2014,1,1
"Suriname","Belgium",2012,1,1
"Japan","Switzerland",2019,1,1
"Japan","Colombia",2024,1,1
"Egypt","Netherlands",2016,1,1
"Portugal","Ukraine",2021,1,1
"Czech Republic","Germany",2019,1,1
"Malaysia","Hungary",2020,1,1
"Indonesia","Malaysia",2022,1,1
"Malaysia","Philippines",2023,1,1
"Sri Lanka","Egypt",2021,1,1
"Ireland","United States",2016,1,1
"France","Cambodia",2021,1,1
"Belarus","Cyprus",2007,1,1
"Austria","Spain",2021,1,1
"Mexico","Honduras",2017,1,1
"Czech Republic","Iceland",2022,1,1
"Estonia","Brazil",2020,1,1
"Taiwan","Japan",2024,1,1
"United States","Burkina Faso",2022,1,1
"China","Macao",2021,1,1
"Russia","Switzerland",2018,1,1
"Sweden","India",2024,1,1
"Malaysia","Iran",2021,1,1
"Norway","Israel",2023,1,1
"Netherlands","Slovakia",2017,1,1
"Finland","Germany",2014,1,1
"Ethiopia","Netherlands",2023,1,1
"Argentina","Israel",2019,1,1
"Uruguay","Germany",2024,1,1
"Uganda","Australia",2022,1,1
"Azerbaijan","France",2020,1,1
"Turkey","Hong Kong",2020,1,1
"Cameroon","Canada",2023,1,1
"Russia","Czech Republic",2022,1,1
"Malaysia","Belgium",2009,1,1
"Spain","Italy",2013,1,1
"Peru","Spain",2023,1,1
"Austria","Iran",2022,1,1
"Belgium","Australia",2018,1,1
"South Korea","Switzerland",2024,1,1
"United States","Italy",2007,1,1
"New Zealand","Canada",2020,1,1
"Japan","Pakistan",2022,1,1
"Algeria","Luxembourg",2022,1,1
"Luxembourg","Algeria",2022,1,1
"South Korea","Poland",2018,1,1
"Kenya","Morocco",2022,1,1
"Bahamas","Germany",2021,1,1
"India","Philippines",2017,1,1
"Syria","Philippines",2020,1,1
"South Korea","China",2021,1,1
"Pakistan","Lithuania",2022,1,1
"Algeria","Canada",2021,1,1
"Netherlands","Chad",2012,1,1
"Japan","South Africa",2020,1,1
"Cameroon","United States",2020,1,1
"Senegal","United States",2022,1,1
"Canada","Algeria",2021,1,1
"South Korea","France",2012,1,1
"Colombia","Paraguay",2024,1,1
"Italy","Brazil",2024,1,1
"Germany","Georgia",2019,1,1
"United Kingdom","Spain",2010,1,1
"Japan","Spain",2018,1,1
"Switzerland","Austria",2022,1,1
"Kuwait","United States",2022,1,1
"United Arab Emirates","South Africa",2024,1,1
"Vietnam","United States",2013,1,1
"South Africa","United States",2015,1,1
"Ireland","United Kingdom",2014,1,1
"South Africa","Australia",2024,1,1
"Denmark","Sweden",2020,1,1
"Switzerland","China",2021,1,1
"New Zealand","France",2015,1,1
"United Arab Emirates","Switzerland",2018,1,1
"Greece","Canada",2018,1,1
"Thailand","France",2018,1,1
"Japan","Hong Kong",2023,1,1
"France","Czech Republic",2023,1,1
"Belgium","Nigeria",2024,1,1
"Bermuda","United Kingdom",2016,1,1
"India","Spain",2022,1,1
"United States","Japan",2009,1,1
"Ukraine","Denmark",2020,1,1
"Vietnam","Canada",2019,1,1
"Luxembourg","Canada",2021,1,1
"Egypt","Russia",2023,1,1
"Saudi Arabia","Germany",2023,1,1
"Philippines","Finland",2023,1,1
"Iran","Armenia",2022,1,1
"Malta","Japan",2024,1,1
"United States","Senegal",2022,1,1
"Czech Republic","Rwanda",2018,1,1
"Switzerland","Niger",2024,1,1
"Latvia","United States",2020,1,1
"Singapore","Netherlands",2023,1,1
"Macao","Belgium",2013,1,1
"Egypt","Sweden",2019,1,1
"United Kingdom","South Korea",2019,1,1
"France","South Africa",2020,1,1
"United States","Costa Rica",2012,1,1
"France","Taiwan",2021,1,1
"Sri Lanka","United States",2017,1,1
"Slovakia","United States",2016,1,1
"Australia","Spain",2021,1,1
"Finland","Italy",2023,1,1
"United Kingdom","Saudi Arabia",2020,1,1
"Czech Republic","Kuwait",2023,1,1
"Nigeria","Rwanda",2022,1,1
"Jamaica","Mexico",2021,1,1
"Malaysia","United Arab Emirates",2019,1,1
"Netherlands","Peru",2011,1,1
"India","Costa Rica",2022,1,1
"France","Poland",2017,1,1
"United States","Kosovo",2023,1,1
"Taiwan","Netherlands",2024,1,1
"United Kingdom","China",2007,1,1
"Netherlands","Cyprus",2020,1,1
"Turkey","Australia",2023,1,1
"China","South Korea",2017,1,1
"Tunisia","France",2015,1,1
"Netherlands","Ethiopia",2012,1,1
"Turkey","United States",2011,1,1
"Indonesia","Singapore",2017,1,1
"Georgia","United States",2020,1,1
"Australia","Hong Kong",2021,1,1
"Colombia","Netherlands",2016,1,1
"Lebanon","Egypt",2021,1,1
"Andorra","Spain",2024,1,1
"Netherlands","Zambia",2011,1,1
"Belarus","Slovenia",2016,1,1
"Slovenia","Belarus",2016,1,1
"Papua New Guinea","Malaysia",2007,1,1
"Ecuador","United States",2019,1,1
"Rwanda","Uganda",2023,1,1
"United Kingdom","Croatia",2024,1,1
"United States","Japan",2003,1,1
"Canada","Egypt",2010,1,1
"United Arab Emirates","Lebanon",2021,1,1
"Denmark","Germany",2018,1,1
"India","Costa Rica",2019,1,1
"Costa Rica","United States",2010,1,1
"United States","Luxembourg",2023,1,1
"Germany","Ireland",2019,1,1
"Argentina","Netherlands",2005,1,1
"Netherlands","South Korea",2022,1,1
"Pakistan","Netherlands",2018,1,1
"United Arab Emirates","Switzerland",2023,1,1
"France","China",2023,1,1
"El Salvador","United States",2023,1,1
"Nepal","United Kingdom",2019,1,1
"Cyprus","United States",2018,1,1
"Argentina","Peru",2021,1,1
